,fid,idiip,id_prng,naz_glowna,el_rozroz,el_rodzaj,dopelniacz,przymiot,status_naz,kat_ob,rodzaj_ob,naz_m_nad,id_m_nad,infor_dod,sys_zew,id_zew,tyt_d_zrod,dat_d_zrod,wyd_d_zrod,reprez_ob,wsp_geo,wsp_XY,naz_his,naz_obo,naz_dod,jez_dod,lat_dod,endonim,jez_end,lat_end,egzonim,jez_egz,lat_egz,woj,powiat,gmina,id_gminy,pocz_w_ob,wer_ob,wazna_od,geometry,nearest1,cluster1,nearest2,nearest2_dist,cluster2,nearest3,nearest3_dist,cluster3,nearest4,nearest4_dist,cluster4,nearest5,nearest5_dist,cluster5,line1,line2,line3,line4,line5
0,1,PL.PZGiK.320.NGRP.402,402,Aleksandrów Kujawski,Aleksandrów Kujawski,,-rowa -kiego,aleksandrowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0985384,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°52'30"" 18°41'41""",479453.79 556645.24,,,,,,,,,,,,kujawsko-pomorskie,aleksandrowski,Aleksandrów Kujawski-gmina miejska,0401011,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-08-19,POINT (479453.78999999986 556645.2399999993),101,101,-1,19345,711.0,-1,19345,766.0,-1,33972,848.0,-1,88635,244.0,"LINESTRING (479453.78999999986 556645.2399999993, 485677.6699999999 557044.5300000003)",,,,
1,2,PL.PZGiK.320.NGRP.403,403,Aleksandrów Łódzki,Aleksandrów Łódzki,,-rowa -kiego,aleksandrowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0958654,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"51°49'13"" 19°18'18""",521015.83 439370.27,,,,,,,,,,,,łódzkie,zgierski,Aleksandrów Łódzki-gmina miejsko-wiejska,1020043,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-04-25,POINT (521015.83 439370.2699999986),937,937,310,8166,393.0,-1,25418,934.0,-1,25418,848.0,-1,54429,244.0,"LINESTRING (521015.83 439370.2699999986, 527967.74 443403.8700000001)","LINESTRING (521015.83 439370.2699999986, 522461.8600000003 431332.7699999986)",,,
2,3,PL.PZGiK.320.NGRP.483,483,Alwernia,Alwernia,,-nii,alwernijski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0314454,Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Urzędowe nazwy miejscowości i obiektów fizjograficznych - 4 Powiat chrzanowski i powiat miejski Jaworzno; Rozporządzenie Ministra Admi,1991-01-01; 1964-01-01; 2012-12-13,Główny Geodeta Kraju; Urząd Rady Ministrów; Minister Administracji i Cyfryzacji,punkt główny,"50°04'07"" 19°32'31""",538776.4 244735.31,,,,,,,,,,,,małopolskie,chrzanowski,Alwernia-gmina miejsko-wiejska,1203013,2021-04-08T09:00:00,2021-04-08T09:00:00,2017-01-31,POINT (538776.4000000003 244735.3099999996),349,349,831,11139,831.0,-1,22874,540.0,-1,64734,863.0,-1,111254,244.0,"LINESTRING (538776.4000000003 244735.3099999996, 545483.8200000001 252179.8700000001)","LINESTRING (538776.4000000003 244735.3099999996, 533768.53 254685.25)",,,
3,4,PL.PZGiK.320.NGRP.570,570,Andrychów,Andrychów,,-chowa,andrychowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0924023,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"49°51'10"" 19°20'29""",524524.25 220671.55,,,,,,,,,,,,małopolskie,wadowicki,Andrychów-gmina miejsko-wiejska,1218013,2021-04-08T09:00:00,2021-04-08T09:00:00,2017-01-20,POINT (524524.25 220671.5499999998),283,879,-1,17338,831.0,-1,21691,540.0,-1,79399,863.0,-1,135217,244.0,"LINESTRING (524524.25 220671.5499999998, 515969.2100000001 224066.58999999985)",,,,
4,5,PL.PZGiK.320.NGRP.741,741,Annopol,Annopol,,-la,annopolski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0786213,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°53'08"" 21°51'25""",700892.86 339281.0,,,,,,,,,,,,lubelskie,kraśnicki,Annopol-gmina miejsko-wiejska,0607023,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-11-19,POINT (700892.8600000001 339281),926,926,559,13496,546.0,-1,17394,863.0,-1,38198,863.0,-1,147527,244.0,"LINESTRING (700892.8600000001 339281, 701413.3699999999 330465.0999999987)","LINESTRING (700892.8600000001 339281, 687402.8800000001 338853.9400000004)",,,
5,6,PL.PZGiK.320.NGRP.1099,1099,Augustów,Augustów,,-towa,augustowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0977539,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°50'32"" 22°58'39""",761567.78 671497.39,,,,,,,,,,,,podlaskie,augustowski,Augustów-gmina miejska,2001011,2022-01-17T21:10:39,2022-01-17T21:10:39,2013-06-09,POINT (761567.78 671497.3899999997),655,784,-1,29116,680.0,-1,30569,249.0,-1,30569,848.0,-1,125981,244.0,"LINESTRING (761567.78 671497.3899999997, 743426.5999999999 657987.0899999989)",,,,
6,7,PL.PZGiK.320.NGRP.1426,1426,Babimost,Babimost,,-tu,babimojski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0988342,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°09'53"" 15°49'49""",283296.99 482372.43,,,,,,,,,,,,lubuskie,zielonogórski,Babimost-gmina miejsko-wiejska,0809013,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-04,POINT (283296.99 482372.42999999877),931,932,-1,16731,596.0,-1,20376,556.0,-1,20376,848.0,-1,35691,244.0,"LINESTRING (283296.99 482372.42999999877, 282704.51 491457.4099999992)",,,,
7,8,PL.PZGiK.320.NGRP.1489,1489,Baborów,Baborów,,-rowa,baborowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0965200,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°09'24"" 17°59'09""",427573.0 254865.74,,,,,,,,,,,,opolskie,głubczycki,Baborów-gmina miejsko-wiejska,1602013,2021-04-08T09:00:00,2021-04-08T09:00:00,2019-09-26,POINT (427573.0000000001 254865.74000000115),285,285,-1,18264,641.0,-1,23530,540.0,-1,58343,863.0,-1,58343,244.0,"LINESTRING (427573.0000000001 254865.74000000115, 428633.95000000007 246297.88999999966)",,,,
8,9,PL.PZGiK.320.NGRP.2605,2605,Baranów Sandomierski,Baranów Sandomierski,,-nowa -kiego,baranowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0980352,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°29'50"" 21°32'36""",680313.77 295329.63,,,,,,,,,,,,podkarpackie,tarnobrzeski,Baranów Sandomierski-gmina miejsko-wiejska,1820013,2021-10-19T22:50:32,2021-10-19T22:50:32,2013-06-09,POINT (680313.7699999999 295329.6300000008),543,543,312,11069,814.0,-1,24841,863.0,-1,24841,863.0,-1,150527,244.0,"LINESTRING (680313.7699999999 295329.6300000008, 673109.25 297618.7399999993)","LINESTRING (680313.7699999999 295329.6300000008, 682872.56 306099.0700000003)",,,
9,10,PL.PZGiK.320.NGRP.2706,2706,Barcin,Barcin,,-na,barciński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0928825,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°51'27"" 17°56'31""",428778.28 555171.89,,,,,,,,,,,,kujawsko-pomorskie,żniński,Barcin-gmina miejsko-wiejska,0419013,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-10-20,POINT (428778.28 555171.8899999997),397,397,565,11305,565.0,-1,22209,766.0,-1,34016,848.0,-1,138705,244.0,"LINESTRING (428778.28 555171.8899999997, 427400.6 565825.9000000004)","LINESTRING (428778.28 555171.8899999997, 438521.1 549435.7799999984)",,,
